homonym,judged_meaning,precontext,sentence,ending,choices,average,stdev,nonsensical,sample_id,example_sentence
base,installation from which a military force initiates operations,"The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents.","The soldiers were playing a bat and ball game, which involved them running towards the base.",,"[2, 2, 3, 5, 2]",2.8,1.3038404810405297,"[False, False, False, False, False]",1133,The troops strategized at their forward base.
base,a place that the runner must touch before scoring,"The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents.","The soldiers were playing a bat and ball game, which involved them running towards the base.",,"[5, 5, 4, 5, 5]",4.8,0.4472135954999579,"[False, False, False, False, False]",1134,He slid into third base safely.
driving,"to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly","Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt.","Poppy was always driving her friends, although they wished she wouldn't.","Just for once, she wished that her friends would plan a get-together or adventure, and she could enjoy being present.","[4, 5, 4, 3, 4]",4.0,0.7071067811865476,"[False, False, False, False, False]",211,Her ambition drives her to succeed.
driving,operate or control a vehicle,"Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt.","Poppy was always driving her friends, although they wished she wouldn't.","Just for once, she wished that her friends would plan a get-together or adventure, and she could enjoy being present.","[1, 1, 2, 1, 4]",1.8,1.3038404810405297,"[False, False, False, False, False]",212,I will drive to the store.
driving,"to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly","Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt.","Poppy was always driving her friends, although they wished she wouldn't.",Poppy would be the one to take them from their houses to events and restaurants.,"[2, 2, 5, 2, 3]",2.8,1.3038404810405297,"[False, False, False, False, False]",213,Her ambition drives her to succeed.
driving,operate or control a vehicle,"Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt.","Poppy was always driving her friends, although they wished she wouldn't.",Poppy would be the one to take them from their houses to events and restaurants.,"[4, 5, 2, 3, 5]",3.8,1.3038404810405297,"[False, False, False, False, False]",214,I will drive to the store.
driving,"to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly","Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt.","Poppy was always driving her friends, although they wished she wouldn't.",,"[5, 4, 3, 4, 3]",3.8,0.8366600265340756,"[True, False, False, False, False]",215,Her ambition drives her to succeed.
driving,operate or control a vehicle,"Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt.","Poppy was always driving her friends, although they wished she wouldn't.",,"[2, 5, 3, 2, 1]",2.6,1.51657508881031,"[False, False, False, False, False]",216,I will drive to the store.
drive,a journey in a vehicle (usually an automobile),John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag.,He was ready to drive after a long day.,"He started the car, and the engine roared to life. He sped off down the country lanes into the sunset; he'd been waiting for this moment all day.","[5, 5, 5, 5, 5]",5.0,0.0,"[False, False, False, False, False]",421,Let's take a drive through the countryside.
drive,hitting a golf ball off of a tee with a driver,John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag.,He was ready to drive after a long day.,"He started the car, and the engine roared to life. He sped off down the country lanes into the sunset; he'd been waiting for this moment all day.","[2, 2, 2, 1, 1]",1.6,0.5477225575051661,"[False, False, False, False, False]",422,He hit a long drive down the fairway.
drive,a journey in a vehicle (usually an automobile),John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag.,He was ready to drive after a long day.,"As he settled into his car, he couldn't help but think about the satisfying feeling of sending the ball soaring down the fairway during his weekend games.","[4, 5, 4, 3, 3]",3.8,0.8366600265340756,"[False, False, False, False, False]",423,Let's take a drive through the countryside.
drive,hitting a golf ball off of a tee with a driver,John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag.,He was ready to drive after a long day.,"As he settled into his car, he couldn't help but think about the satisfying feeling of sending the ball soaring down the fairway during his weekend games.","[4, 1, 2, 5, 1]",2.6,1.816590212458495,"[False, False, False, False, True]",424,He hit a long drive down the fairway.
drive,a journey in a vehicle (usually an automobile),John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag.,He was ready to drive after a long day.,,"[5, 5, 5, 5, 5]",5.0,0.0,"[False, False, False, False, False]",425,Let's take a drive through the countryside.
drive,hitting a golf ball off of a tee with a driver,John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag.,He was ready to drive after a long day.,,"[1, 2, 2, 1, 2]",1.6,0.5477225575051661,"[False, False, False, False, False]",426,He hit a long drive down the fairway.
drive,a journey in a vehicle (usually an automobile),"Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead.",That was a good drive.,He put on his driving gloves and was ready.,"[5, 5, 2, 5, 5]",4.4,1.3416407864998738,"[False, False, True, False, True]",475,Let's take a drive through the countryside.
drive,hitting a golf ball off of a tee with a driver,"Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead.",That was a good drive.,He put on his driving gloves and was ready.,"[2, 1, 2, 1, 3]",1.8,0.8366600265340756,"[False, False, False, False, False]",476,He hit a long drive down the fairway.
drive,a journey in a vehicle (usually an automobile),"Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead.",That was a good drive.,Tom was proud of how his golf game was going.,"[1, 2, 1, 1, 1]",1.2,0.4472135954999579,"[False, False, False, False, False]",477,Let's take a drive through the countryside.
drive,hitting a golf ball off of a tee with a driver,"Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead.",That was a good drive.,Tom was proud of how his golf game was going.,"[5, 4, 3, 5, 4]",4.2,0.8366600265340756,"[False, False, False, False, False]",478,He hit a long drive down the fairway.
drive,a journey in a vehicle (usually an automobile),"Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead.",That was a good drive.,,"[4, 4, 2, 1, 1]",2.4,1.51657508881031,"[False, False, False, False, False]",479,Let's take a drive through the countryside.
drive,hitting a golf ball off of a tee with a driver,"Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead.",That was a good drive.,,"[3, 1, 3, 1, 1]",1.8,1.0954451150103321,"[False, False, False, False, False]",480,He hit a long drive down the fairway.
drive,a journey in a vehicle (usually an automobile),Jack packed his bags and left the house early. The weather was perfect for the day ahead. He was eager to test his skills and patience.,The drive was a good distance.,"After hours on the road, Jack finally arrived at his destination, ready to face the challenges of the day.","[5, 5, 5, 5, 5]",5.0,0.0,"[False, False, False, False, False]",631,Let's take a drive through the countryside.
drive,hitting a golf ball off of a tee with a driver,Jack packed his bags and left the house early. The weather was perfect for the day ahead. He was eager to test his skills and patience.,The drive was a good distance.,"After hours on the road, Jack finally arrived at his destination, ready to face the challenges of the day.","[2, 1, 3, 1, 1]",1.6,0.8944271909999159,"[False, False, False, False, False]",632,He hit a long drive down the fairway.
drive,a journey in a vehicle (usually an automobile),Jack packed his bags and left the house early. The weather was perfect for the day ahead. He was eager to test his skills and patience.,The drive was a good distance.,He was excited to see how far he could hit the ball.,"[3, 1, 1, 3, 3]",2.2,1.0954451150103321,"[False, False, True, False, False]",633,Let's take a drive through the countryside.
drive,hitting a golf ball off of a tee with a driver,Jack packed his bags and left the house early. The weather was perfect for the day ahead. He was eager to test his skills and patience.,The drive was a good distance.,He was excited to see how far he could hit the ball.,"[3, 5, 5, 1, 1]",3.0,2.0,"[False, False, False, False, False]",634,He hit a long drive down the fairway.
drive,a journey in a vehicle (usually an automobile),Jack packed his bags and left the house early. The weather was perfect for the day ahead. He was eager to test his skills and patience.,The drive was a good distance.,,"[5, 5, 5, 5, 5]",5.0,0.0,"[False, False, False, False, False]",635,Let's take a drive through the countryside.
drive,hitting a golf ball off of a tee with a driver,Jack packed his bags and left the house early. The weather was perfect for the day ahead. He was eager to test his skills and patience.,The drive was a good distance.,,"[1, 1, 3, 4, 1]",2.0,1.4142135623730951,"[False, False, False, False, False]",636,He hit a long drive down the fairway.
drive,a journey in a vehicle (usually an automobile),"Lisa had always been competitive. Every weekend, she dedicated herself to her passion. She believed that her relentless practice would pay off someday.",Her drive was what ultimately got her into the top university.,"She made that long trip to show the course coordinators her dedication to going to that university, and they said that was one of the reasons why they accepted her.","[3, 2, 1, 1, 5]",2.4,1.6733200530681511,"[False, False, False, False, False]",967,Let's take a drive through the countryside.
drive,hitting a golf ball off of a tee with a driver,"Lisa had always been competitive. Every weekend, she dedicated herself to her passion. She believed that her relentless practice would pay off someday.",Her drive was what ultimately got her into the top university.,"She made that long trip to show the course coordinators her dedication to going to that university, and they said that was one of the reasons why they accepted her.","[1, 1, 1, 1, 1]",1.0,0.0,"[False, False, False, False, False]",968,He hit a long drive down the fairway.
drive,a journey in a vehicle (usually an automobile),"Lisa had always been competitive. Every weekend, she dedicated herself to her passion. She believed that her relentless practice would pay off someday.",Her drive was what ultimately got her into the top university.,She felt immensely proud of herself.,"[1, 4, 1, 1, 1]",1.6,1.3416407864998738,"[False, False, False, False, False]",969,Let's take a drive through the countryside.
drive,hitting a golf ball off of a tee with a driver,"Lisa had always been competitive. Every weekend, she dedicated herself to her passion. She believed that her relentless practice would pay off someday.",Her drive was what ultimately got her into the top university.,She felt immensely proud of herself.,"[1, 2, 3, 2, 2]",2.0,0.7071067811865476,"[False, False, False, False, False]",970,He hit a long drive down the fairway.
drive,a journey in a vehicle (usually an automobile),"Lisa had always been competitive. Every weekend, she dedicated herself to her passion. She believed that her relentless practice would pay off someday.",Her drive was what ultimately got her into the top university.,,"[1, 1, 1, 1, 1]",1.0,0.0,"[False, False, False, False, False]",971,Let's take a drive through the countryside.
drive,hitting a golf ball off of a tee with a driver,"Lisa had always been competitive. Every weekend, she dedicated herself to her passion. She believed that her relentless practice would pay off someday.",Her drive was what ultimately got her into the top university.,,"[2, 1, 1, 1, 1]",1.2,0.4472135954999579,"[False, False, False, False, True]",972,He hit a long drive down the fairway.
front,(meteorology) the atmospheric phenomenon created at the boundary between two different air masses,"It was a gray morning, and everyone in town braced themselves for the coming change. The sky darkened as the day went on, casting an eerie shadow over the old buildings. People gathered at the edge of the street, whispering about what was approaching.",The front was something to behold.,It heralded a huge storm.,"[5, 5, 4, 2, 2]",3.6,1.51657508881031,"[False, False, False, False, False]",2155,A cold front moved through the area.
front,the side that is forward or prominent,"It was a gray morning, and everyone in town braced themselves for the coming change. The sky darkened as the day went on, casting an eerie shadow over the old buildings. People gathered at the edge of the street, whispering about what was approaching.",The front was something to behold.,It heralded a huge storm.,"[3, 1, 1, 1, 2]",1.6,0.8944271909999159,"[False, False, False, False, False]",2156,The front of the building is beautiful.
front,(meteorology) the atmospheric phenomenon created at the boundary between two different air masses,"It was a gray morning, and everyone in town braced themselves for the coming change. The sky darkened as the day went on, casting an eerie shadow over the old buildings. People gathered at the edge of the street, whispering about what was approaching.",The front was something to behold.,The buildings seemed almost decrepit as the weather change loomed.,"[4, 1, 5, 3, 3]",3.2,1.4832396974191326,"[False, False, False, False, False]",2157,A cold front moved through the area.
front,the side that is forward or prominent,"It was a gray morning, and everyone in town braced themselves for the coming change. The sky darkened as the day went on, casting an eerie shadow over the old buildings. People gathered at the edge of the street, whispering about what was approaching.",The front was something to behold.,The buildings seemed almost decrepit as the weather change loomed.,"[2, 3, 2, 1, 2]",2.0,0.7071067811865476,"[False, False, False, False, False]",2158,The front of the building is beautiful.
front,(meteorology) the atmospheric phenomenon created at the boundary between two different air masses,"It was a gray morning, and everyone in town braced themselves for the coming change. The sky darkened as the day went on, casting an eerie shadow over the old buildings. People gathered at the edge of the street, whispering about what was approaching.",The front was something to behold.,,"[5, 5, 2, 5, 5]",4.4,1.3416407864998738,"[False, False, False, False, False]",2159,A cold front moved through the area.
front,the side that is forward or prominent,"It was a gray morning, and everyone in town braced themselves for the coming change. The sky darkened as the day went on, casting an eerie shadow over the old buildings. People gathered at the edge of the street, whispering about what was approaching.",The front was something to behold.,,"[2, 2, 2, 2, 3]",2.2,0.4472135954999579,"[False, False, False, False, False]",2160,The front of the building is beautiful.
appendix,supplementary material that is collected and appended at the back of a book,"John had always been curious about things that stood out. Whether it was a rare book at the library or a peculiar x-ray from his anatomy class, he would spend hours examining them. One day, he stumbled upon something unusual that caught his attention.","The appendix was so different, one could notice it instantly.",The author had written them in bold font as if he wanted people to notice them.,"[5, 4, 4, 5, 5]",4.6,0.5477225575051661,"[False, False, False, False, False]",55,Refer to the appendix for additional information.
appendix,a vestigial process that extends from the lower end of the cecum and that resembles a small pouch,"John had always been curious about things that stood out. Whether it was a rare book at the library or a peculiar x-ray from his anatomy class, he would spend hours examining them. One day, he stumbled upon something unusual that caught his attention.","The appendix was so different, one could notice it instantly.",The author had written them in bold font as if he wanted people to notice them.,"[1, 1, 1, 1, 1]",1.0,0.0,"[False, False, False, False, False]",56,The surgeon removed my inflamed appendix.
appendix,supplementary material that is collected and appended at the back of a book,"John had always been curious about things that stood out. Whether it was a rare book at the library or a peculiar x-ray from his anatomy class, he would spend hours examining them. One day, he stumbled upon something unusual that caught his attention.","The appendix was so different, one could notice it instantly.",He was so captivated by the uniqueness that he decided to carry out research before treatment.,"[3, 2, 4, 2, 1]",2.4,1.140175425099138,"[False, False, False, False, False]",57,Refer to the appendix for additional information.
appendix,a vestigial process that extends from the lower end of the cecum and that resembles a small pouch,"John had always been curious about things that stood out. Whether it was a rare book at the library or a peculiar x-ray from his anatomy class, he would spend hours examining them. One day, he stumbled upon something unusual that caught his attention.","The appendix was so different, one could notice it instantly.",He was so captivated by the uniqueness that he decided to carry out research before treatment.,"[1, 4, 4, 4, 4]",3.4,1.3416407864998738,"[False, False, False, False, False]",58,The surgeon removed my inflamed appendix.
appendix,supplementary material that is collected and appended at the back of a book,"John had always been curious about things that stood out. Whether it was a rare book at the library or a peculiar x-ray from his anatomy class, he would spend hours examining them. One day, he stumbled upon something unusual that caught his attention.","The appendix was so different, one could notice it instantly.",,"[3, 2, 4, 3, 5]",3.4,1.140175425099138,"[False, False, False, False, False]",59,Refer to the appendix for additional information.
appendix,a vestigial process that extends from the lower end of the cecum and that resembles a small pouch,"John had always been curious about things that stood out. Whether it was a rare book at the library or a peculiar x-ray from his anatomy class, he would spend hours examining them. One day, he stumbled upon something unusual that caught his attention.","The appendix was so different, one could notice it instantly.",,"[4, 4, 5, 3, 3]",3.8,0.8366600265340756,"[False, False, False, False, False]",60,The surgeon removed my inflamed appendix.
appendix,supplementary material that is collected and appended at the back of a book,"John had been working on his novel for months, pouring over every chapter. He was determined to have it completed by the end of the week. However, there had been an unexpected delay in his progress.",John was late completing the book because he had been having trouble with his appendix.,He wasn't sure if he should reference all the other research articles that had been used in putting his novel together with such accuracy.,"[3, 4, 4, 4, 4]",3.8,0.4472135954999579,"[False, False, False, False, False]",3085,Refer to the appendix for additional information.
appendix,a vestigial process that extends from the lower end of the cecum and that resembles a small pouch,"John had been working on his novel for months, pouring over every chapter. He was determined to have it completed by the end of the week. However, there had been an unexpected delay in his progress.",John was late completing the book because he had been having trouble with his appendix.,He wasn't sure if he should reference all the other research articles that had been used in putting his novel together with such accuracy.,"[4, 2, 5, 1, 3]",3.0,1.5811388300841898,"[False, False, False, False, False]",3086,The surgeon removed my inflamed appendix.
appendix,supplementary material that is collected and appended at the back of a book,"John had been working on his novel for months, pouring over every chapter. He was determined to have it completed by the end of the week. However, there had been an unexpected delay in his progress.",John was late completing the book because he had been having trouble with his appendix.,It had been causing him a lot of pain in his lower abdomen recently.,"[1, 5, 1, 1, 2]",2.0,1.7320508075688772,"[False, False, False, False, False]",3087,Refer to the appendix for additional information.
appendix,a vestigial process that extends from the lower end of the cecum and that resembles a small pouch,"John had been working on his novel for months, pouring over every chapter. He was determined to have it completed by the end of the week. However, there had been an unexpected delay in his progress.",John was late completing the book because he had been having trouble with his appendix.,It had been causing him a lot of pain in his lower abdomen recently.,"[5, 5, 4, 5, 1]",4.0,1.7320508075688772,"[False, False, False, False, False]",3088,The surgeon removed my inflamed appendix.
appendix,supplementary material that is collected and appended at the back of a book,"John had been working on his novel for months, pouring over every chapter. He was determined to have it completed by the end of the week. However, there had been an unexpected delay in his progress.",John was late completing the book because he had been having trouble with his appendix.,,"[3, 4, 1, 1, 1]",2.0,1.4142135623730951,"[False, False, True, False, False]",3089,Refer to the appendix for additional information.
appendix,a vestigial process that extends from the lower end of the cecum and that resembles a small pouch,"John had been working on his novel for months, pouring over every chapter. He was determined to have it completed by the end of the week. However, there had been an unexpected delay in his progress.",John was late completing the book because he had been having trouble with his appendix.,,"[4, 1, 4, 3, 1]",2.6,1.51657508881031,"[False, False, False, False, False]",3090,The surgeon removed my inflamed appendix.
appendicitis,supplementary material that is collected and appended at the back of a book,"The writer sat at his cluttered desk, surrounded by piles of paper and empty coffee cups. He had been working tirelessly on his latest book, determined to finish it by the looming deadline. However, a dull ache had started to distract him from his work.",The writer was struggling with his appendicitis.,The only option was to gather the papers in order so he could make a list.,"[3, 1, 1, 1, 3]",1.8,1.0954451150103321,"[False, False, False, False, True]",3337,Refer to the appendix for additional information.
appendicitis,a vestigial process that extends from the lower end of the cecum and that resembles a small pouch,"The writer sat at his cluttered desk, surrounded by piles of paper and empty coffee cups. He had been working tirelessly on his latest book, determined to finish it by the looming deadline. However, a dull ache had started to distract him from his work.",The writer was struggling with his appendicitis.,The only option was to gather the papers in order so he could make a list.,"[5, 1, 5, 5, 5]",4.2,1.7888543819998317,"[False, False, False, False, False]",3338,The surgeon removed my inflamed appendix.
appendicitis,supplementary material that is collected and appended at the back of a book,"The writer sat at his cluttered desk, surrounded by piles of paper and empty coffee cups. He had been working tirelessly on his latest book, determined to finish it by the looming deadline. However, a dull ache had started to distract him from his work.",The writer was struggling with his appendicitis.,He would need to go to the hospital to have the organ removed.,"[1, 1, 1, 1, 1]",1.0,0.0,"[False, False, True, False, False]",3339,Refer to the appendix for additional information.
appendicitis,a vestigial process that extends from the lower end of the cecum and that resembles a small pouch,"The writer sat at his cluttered desk, surrounded by piles of paper and empty coffee cups. He had been working tirelessly on his latest book, determined to finish it by the looming deadline. However, a dull ache had started to distract him from his work.",The writer was struggling with his appendicitis.,He would need to go to the hospital to have the organ removed.,"[5, 5, 5, 5, 5]",5.0,0.0,"[False, False, False, False, False]",3340,The surgeon removed my inflamed appendix.
appendicitis,supplementary material that is collected and appended at the back of a book,"The writer sat at his cluttered desk, surrounded by piles of paper and empty coffee cups. He had been working tirelessly on his latest book, determined to finish it by the looming deadline. However, a dull ache had started to distract him from his work.",The writer was struggling with his appendicitis.,,"[1, 2, 1, 1, 1]",1.2,0.4472135954999579,"[False, False, False, False, False]",3341,Refer to the appendix for additional information.
appendicitis,a vestigial process that extends from the lower end of the cecum and that resembles a small pouch,"The writer sat at his cluttered desk, surrounded by piles of paper and empty coffee cups. He had been working tirelessly on his latest book, determined to finish it by the looming deadline. However, a dull ache had started to distract him from his work.",The writer was struggling with his appendicitis.,,"[4, 5, 5, 5, 4]",4.6,0.5477225575051661,"[False, False, False, False, False]",3342,The surgeon removed my inflamed appendix.
temple,(Judaism) the place of worship for a Jewish congregation,The night was calm and quiet. They walked through the old city streets. The air was filled with a sense of mystery.,Their temple glowed in the moonlight.,"Then, they all bowed down in silence.","[5, 4, 3, 5, 5]",4.4,0.8944271909999159,"[False, False, False, False, False]",265,The community gathered at the temple.
temple,the flat area on either side of the forehead,The night was calm and quiet. They walked through the old city streets. The air was filled with a sense of mystery.,Their temple glowed in the moonlight.,"Then, they all bowed down in silence.","[5, 1, 1, 1, 2]",2.0,1.7320508075688772,"[False, False, False, False, False]",266,The sun beats down on his temple.
temple,(Judaism) the place of worship for a Jewish congregation,The night was calm and quiet. They walked through the old city streets. The air was filled with a sense of mystery.,Their temple glowed in the moonlight.,They had to mop the sweat away.,"[1, 2, 1, 3, 2]",1.8,0.8366600265340756,"[False, False, False, False, False]",267,The community gathered at the temple.
temple,the flat area on either side of the forehead,The night was calm and quiet. They walked through the old city streets. The air was filled with a sense of mystery.,Their temple glowed in the moonlight.,They had to mop the sweat away.,"[4, 4, 1, 5, 4]",3.6,1.51657508881031,"[True, False, False, False, False]",268,The sun beats down on his temple.
temple,(Judaism) the place of worship for a Jewish congregation,The night was calm and quiet. They walked through the old city streets. The air was filled with a sense of mystery.,Their temple glowed in the moonlight.,,"[4, 3, 5, 4, 3]",3.8,0.8366600265340756,"[False, False, False, False, False]",269,The community gathered at the temple.
temple,the flat area on either side of the forehead,The night was calm and quiet. They walked through the old city streets. The air was filled with a sense of mystery.,Their temple glowed in the moonlight.,,"[1, 1, 1, 3, 2]",1.6,0.8944271909999159,"[False, False, False, False, False]",270,The sun beats down on his temple.
catch,a drawback or difficulty that is not readily evident,"John had found an unusual box at the back of the attic. Inside, there were strange trinkets and a dusty old map. He was excited but also a little wary of what he had discovered.",He couldn't figure out the catch.,One thing was clear: his next adventure lay in the mystery of the map.,"[5, 4, 5, 1, 4]",3.8,1.6431676725154984,"[False, False, False, False, False]",1093,"It seems perfect, but what's the catch?"
catch,the quantity that was caught,"John had found an unusual box at the back of the attic. Inside, there were strange trinkets and a dusty old map. He was excited but also a little wary of what he had discovered.",He couldn't figure out the catch.,One thing was clear: his next adventure lay in the mystery of the map.,"[4, 1, 1, 1, 4]",2.2,1.6431676725154984,"[False, False, False, False, False]",1094,The fisherman was pleased with his catch.
catch,a drawback or difficulty that is not readily evident,"John had found an unusual box at the back of the attic. Inside, there were strange trinkets and a dusty old map. He was excited but also a little wary of what he had discovered.",He couldn't figure out the catch.,He set it aside and called his friend for advice.,"[5, 4, 2, 4, 5]",4.0,1.224744871391589,"[False, False, False, False, False]",1095,"It seems perfect, but what's the catch?"
catch,the quantity that was caught,"John had found an unusual box at the back of the attic. Inside, there were strange trinkets and a dusty old map. He was excited but also a little wary of what he had discovered.",He couldn't figure out the catch.,He set it aside and called his friend for advice.,"[3, 1, 1, 4, 1]",2.0,1.4142135623730951,"[False, False, False, False, False]",1096,The fisherman was pleased with his catch.
catch,a drawback or difficulty that is not readily evident,"John had found an unusual box at the back of the attic. Inside, there were strange trinkets and a dusty old map. He was excited but also a little wary of what he had discovered.",He couldn't figure out the catch.,,"[4, 5, 2, 5, 5]",4.2,1.3038404810405297,"[False, False, False, False, False]",1097,"It seems perfect, but what's the catch?"
catch,the quantity that was caught,"John had found an unusual box at the back of the attic. Inside, there were strange trinkets and a dusty old map. He was excited but also a little wary of what he had discovered.",He couldn't figure out the catch.,,"[1, 1, 1, 1, 1]",1.0,0.0,"[False, False, False, False, False]",1098,The fisherman was pleased with his catch.
cleanly,in an adroit manner,"Jason had prepared for months for the local robotics competition. His robot, EcoBot, was designed to perform complex obstacle courses. The goal was to maneuver smoothly and efficiently through the course while showcasing innovative technology.","He exited the competition cleanly, impressing both the judges and the organizers.",It couldn't have gone any better.,"[4, 2, 4, 2, 3]",3.0,1.0,"[False, False, False, False, False]",1513,She cut the paper cleanly in half.
cleanly,in a manner that minimizes dirt and pollution,"Jason had prepared for months for the local robotics competition. His robot, EcoBot, was designed to perform complex obstacle courses. The goal was to maneuver smoothly and efficiently through the course while showcasing innovative technology.","He exited the competition cleanly, impressing both the judges and the organizers.",It couldn't have gone any better.,"[2, 2, 2, 2, 1]",1.8,0.4472135954999579,"[False, False, False, False, False]",1514,The engine runs cleanly and efficiently.
cleanly,in an adroit manner,"Jason had prepared for months for the local robotics competition. His robot, EcoBot, was designed to perform complex obstacle courses. The goal was to maneuver smoothly and efficiently through the course while showcasing innovative technology.","He exited the competition cleanly, impressing both the judges and the organizers.",He left no trace of ever being on the course and won first place as a result.,"[5, 4, 5, 4, 5]",4.6,0.5477225575051661,"[False, False, False, False, False]",1515,She cut the paper cleanly in half.
